anime_name;anime_url;image_path;created_at;updated_at
Absolute Duo;https://animem.org/absolute-duo;/img/anime_10.jpg;2022-05-27;2022-05-27
Air Gear;https://animem.org/air-gear;/img/anime_11.jpg;2022-05-27;2022-05-27
Aishen Qiaokeli-ing;https://animem.org/aishen-qiaokeli-ing;/img/anime_12.jpg;2022-05-27;2022-05-27
Akatsuki no Yona Series;https://animem.org/Akatsuki_no_Yona_Series;/img/anime_13.jpg;2022-05-27;2022-05-27
Akanesasu Shoujo;https://animem.org/akanesasu-shoujo;/img/anime_14.jpg;2022-05-27;2022-05-27
Ao no Exorcist;https://animem.org/ao-no-exorcist;/img/anime_15.jpg;2022-05-27;2022-05-27
Arifureta Shokugyou de Sekai Saikyou;https://animem.org/arifureta-shokugyou-de-sekai-saikyou;/img/anime_16.jpg;2022-05-27;2022-05-27
Azur Lane;https://animem.org/azur-lane;/img/anime_17.jpg;2022-05-27;2022-05-27
B-gata H-kei;https://animem.org/b-gata-h-kei;/img/anime_18.jpg;2022-05-27;2022-05-27
Baka to Test to Shoukanjuu;https://animem.org/baka-to-test-to-shoukanjuu;/img/anime_19.jpg;2022-05-27;2022-05-27
Monogatari Széria;https://animem.org/monogatari-seria;/img/anime_20.jpg;2022-05-27;2022-05-27
Ballroom e Youkoso;https://animem.org/ballroom-e-youkoso;/img/anime_21.jpg;2022-05-27;2022-05-27
BanG Dream!;https://animem.org/bang-dream;/img/anime_22.jpg;2022-05-27;2022-05-27
Beelzebub;https://animem.org/beelzebub;/img/anime_23.jpg;2022-05-27;2022-05-27
Bishoujo Senshi Sailor Moon;https://animem.org/bishoujo-senshi-sailor-moon;/img/anime_24.jpg;2022-05-27;2022-05-27
Bleach;https://animem.org/bleach;/img/anime_25.jpg;2022-05-27;2022-05-27
Blend S;https://animem.org/blend-s;/img/anime_26.jpg;2022-05-27;2022-05-27
Bloodivores;https://animem.org/bloodivores;/img/anime_27.jpg;2022-05-27;2022-05-27
Boku no Hero Academia;https://animem.org/boku-no-hero-academia;/img/anime_28.jpg;2022-05-27;2022-05-27
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken;https://animem.org/boku-no-kanojo-ga-majimesugiru-sho-bitch-na-ken;/img/anime_29.jpg;2022-05-27;2022-05-27
Bokutachi no Remake;https://animem.org/bokutachi-no-remake;/img/anime_30.jpg;2022-05-27;2022-05-27
"	Boku wa Tomodachi ga Sukunai";https://animem.org/boku-wa-tomodachi-ga-sukunai;/img/anime_31.jpg;2022-05-27;2022-05-27
Bokutachi wa Benkyou ga Dekinai;https://animem.org/bokutachi-wa-benkyou-ga-dekinai;/img/anime_32.jpg;2022-05-27;2022-05-27
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou;https://animem.org/campione-matsurowanu-kamigami-to-kamigoroshi-no-maou;/img/anime_33.jpg;2022-05-27;2022-05-27
Chain Chronicle: Haecceitas no Hikari;https://animem.org/chain-chronicle-haecceitas-no-hikari;/img/anime_34.jpg;2022-05-27;2022-05-27
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore;https://animem.org/cheat-kusushi-no-slow-life-isekai-ni-tsukurou-drugstore;/img/anime_35.jpg;2022-05-27;2022-05-27
Circlet Princess;https://animem.org/circlet-princess;/img/anime_36.jpg;2022-05-27;2022-05-27
